ZIP,BLOCK,LOT,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,SALE PRICE,LAT,LNG,BOROUGH
10001,769.4264705882352,550.2745098039215,10001.0,7.303921568627451,1.7107843137254901,9.088235294117647,308.89974255882345,2461.706350637255,1324.9754901960785,2.519607843137255,12458058.171568627,40.750633, -73.997177,Manhattan
10002,328.0792682926829,359.3170731707317,10002.0,2.106707317073171,0.31097560975609756,2.4847560975609757,49.807904115853674,182.64701475914637,1730.283536585366,2.277439024390244,2262497.9451219514,40.715775, -73.986212,Manhattan
10003,672.1330049261084,531.5209359605911,10003.0,1.3916256157635467,0.19088669950738915,1.6194581280788178,30.834528582512338,173.94885418103445,1622.173645320197,2.1330049261083746,2103042.4298029556,40.731829, -73.989181,Manhattan
10004,18.894736842105264,1776.6421052631579,10004.0,1.2210526315789474,0.031578947368421054,1.2526315789473683,55.18438200000001,1284.8700043789474,1699.8631578947368,2.0631578947368423,9721584.778947368,40.688630, -74.018244,Manhattan
10005,32.22613065326633,1234.0954773869346,10005.0,4.9296482412060305,0.19095477386934673,5.135678391959799,54.84498259798995,1403.9263266884423,1864.070351758794,2.0603015075376883,9156857.748743718,40.706027, -74.008835,Manhattan
10006,23.32608695652174,1228.375,10006.0,0.9239130434782609,1.7282608695652173,2.6956521739130435,13.179603309782609,65.66525414130435,1915.554347826087,2.152173913043478,3848211.413043478,40.709614, -74.012954,Manhattan
10007,118.90095846645367,1149.6038338658147,10007.0,1.1277955271565496,0.06389776357827476,1.2268370607028753,7.654554207667731,37.2315450830671,1897.003194888179,2.1022364217252396,4254656.300319489,40.713848, -74.007755,Manhattan
10009,399.7950819672131,681.6188524590164,10009.0,2.6475409836065573,0.14754098360655737,2.8155737704918034,47.03671275,153.3973215,1834.4877049180327,2.0614754098360657,1396027.8196721312,40.726399, -73.978631,Manhattan
10010,873.0305010893246,830.2941176470588,10010.0,0.5904139433551199,2.616557734204793,3.2113289760348582,23.462763971677564,218.83372491067541,1853.5359477124182,2.0718954248366015,3371599.163398693,40.739065, -73.982255,Manhattan
10011,718.5190839694657,692.9837786259542,10011.0,0.8435114503816794,0.09637404580152671,0.9704198473282443,27.305858280534352,105.90569678816793,1766.828244274809,2.101145038167939,3061715.6622137404,40.742039, -74.000620,Manhattan
10012,514.9233449477352,514.2299651567944,10012.0,1.6341463414634145,0.17073170731707318,1.829268292682927,34.20934474912892,129.1782226097561,1826.8362369337979,2.097560975609756,2983154.6306620208,40.725581, -73.998078,Manhattan
10013,259.0527086383602,1070.3836017569547,10013.0,1.1083455344070279,0.4084919472913616,1.6471449487554906,34.46306836310394,222.40991802196197,1531.0190336749633,2.349926793557833,5117624.528550512,40.720103, -74.004903,Manhattan
10014,611.4798464491363,540.21113243762,10014.0,2.1900191938579656,0.16698656429942418,2.3666026871401153,52.53138615738963,320.0683100364683,1717.5412667946257,2.015355086372361,2678447.6103646834,40.734012, -74.006746,Manhattan
10016,915.7497467071935,856.8784194528876,10016.0,2.524822695035461,0.08308004052684904,2.6271529888551166,29.22368816210741,154.11817036170217,1529.9280648429585,2.088145896656535,2174266.574468085,40.745224, -73.978297,Manhattan
10017,1333.4003189792663,974.6411483253588,10017.0,0.49920255183413076,0.3843700159489633,1.1531100478468899,21.51556431259968,299.93889129186596,1861.0829346092503,2.5629984051036683,1620207.1467304626,40.752360, -73.972493,Manhattan
10018,790.6309523809524,526.3095238095239,10018.0,1.630952380952381,11.619047619047619,13.321428571428571,172.44013386904763,992.6320573928572,1775.3690476190477,2.7738095238095237,7023968.952380952,40.755319, -73.993114,Manhattan
10019,1053.5133744855966,1078.0637860082304,10019.0,2.0689300411522633,0.35288065843621397,2.522633744855967,68.27529402880648,968.7623765462962,1659.8590534979423,2.376543209876543,1986105.2067901234,40.765823, -73.987169,Manhattan
10021,1432.0337837837837,455.5824324324324,10021.0,1.1905405405405405,0.07297297297297298,1.2824324324324323,17.889979185135136,106.67775291891893,1805.7729729729729,2.031081081081081,2018799.3337837837,40.769258, -73.958751,Manhattan
10022,1344.7433102081268,560.0693756194252,10022.0,1.0991080277502479,0.07433102081268583,1.2140733399405352,13.194988229930624,89.28935873042614,1806.2041625371655,2.0941526263627352,2759909.639246779,40.758628, -73.967948,Manhattan
10023,1145.6742640075972,757.32383665717,10023.0,1.5251661918328585,0.017094017094017096,1.6020892687559354,26.84323224691358,261.2389128784426,1576.0398860398861,2.117758784425451,1728976.9439696106,40.775921, -73.982607,Manhattan
10024,1211.030048076923,471.37740384615387,10024.0,1.2043269230769231,0.051682692307692304,1.2608173076923077,24.16036311298077,158.18354852764423,1814.5913461538462,2.003605769230769,2141437.7391826925,40.798452, -73.974428,Manhattan
10025,1604.5645514223195,789.8282275711159,10025.0,3.140043763676149,0.01312910284463895,3.160831509846827,38.88783376477024,212.6470387352297,1815.851203501094,2.010940919037199,1261219.7910284463,40.798601, -73.966622,Manhattan
10026,1812.2278481012659,855.464135021097,10026.0,1.518987341772152,0.06751054852320675,1.620253164556962,31.76890604219409,87.37272352742616,1649.168776371308,2.042194092827004,1061699.9831223628,40.802381, -73.952681,Manhattan
10027,1914.918309859155,696.938028169014,10027.0,2.6338028169014085,0.12112676056338029,2.8,68.87043324225353,205.8455696478873,1851.9352112676056,2.1267605633802815,1162503.4253521126,40.811407, -73.953060,Manhattan
10028,1537.6284246575342,375.2174657534247,10028.0,1.9828767123287672,0.046232876712328765,2.0342465753424657,31.478368032534235,170.58852041609592,1858.3818493150684,2.0051369863013697,2200577.8339041094,40.776441, -73.953509,Manhattan
10029,1648.594249201278,427.45686900958464,10029.0,7.859424920127796,0.3610223642172524,8.23003194888179,181.09317624920115,533.3314873801918,1802.4345047923323,2.1118210862619806,1824572.0127795527,40.791763, -73.943970,Manhattan
10030,1995.3131313131314,344.989898989899,10030.0,3.6565656565656566,0.10101010101010101,3.757575757575758,126.06280210101012,247.91775519191918,1733.2626262626263,1.8282828282828283,897269.4747474748,40.818267, -73.942856,Manhattan
10031,2065.5409836065573,213.0,10031.0,3.808743169398907,0.12568306010928962,3.92896174863388,128.15841933333334,419.1955966666666,1782.6939890710382,1.8961748633879782,1507425.6557377048,40.825288, -73.950045,Manhattan
10032,2120.153846153846,219.5874125874126,10032.0,8.048951048951048,0.13286713286713286,8.188811188811188,181.09523319580416,684.7418863356643,1853.7342657342658,1.951048951048951,2292353.314685315,40.838815, -73.942836,Manhattan
10033,2150.2804232804233,390.2116402116402,10033.0,4.285714285714286,0.12698412698412698,4.4338624338624335,131.81903444444444,642.5078085449735,1728.2222222222222,2.0899470899470898,1900435.783068783,40.850545, -73.933983,Manhattan
10034,2236.6216216216217,245.6036036036036,10034.0,7.099099099099099,0.09009009009009009,7.1891891891891895,210.43366463963963,564.1815057927928,1728.8288288288288,2.054054054054054,1627012.8918918918,40.867076, -73.924312,Manhattan
10035,1734.948905109489,348.75182481751824,10035.0,6.291970802919708,0.45985401459854014,6.773722627737226,288.4529650145986,593.8380103722628,1819.5474452554745,2.2262773722627736,2805059.569343066,40.795455, -73.929655,Manhattan
10036,1083.405498281787,909.3230240549829,10036.0,1.3642611683848798,0.7800687285223368,2.2302405498281788,48.29072399656357,216.0559830103093,1885.7972508591065,2.29553264604811,2044261.3642611683,40.759260, -73.989860,Manhattan
10037,1756.1587301587301,603.7619047619048,10037.0,73.22222222222223,0.031746031746031744,73.26984126984127,1695.8454633968254,5434.623472841271,1265.2698412698412,2.015873015873016,2728411.301587302,40.812957, -73.937376,Manhattan
10038,94.8609865470852,608.4977578475336,10038.0,7.896860986547085,0.35874439461883406,8.295964125560538,169.44882291928255,1213.9347552286995,1886.1076233183855,2.125560538116592,1680154.461883408,40.709278, -74.002562,Manhattan
10039,2033.5520833333333,621.3854166666666,10039.0,6.145833333333333,0.20833333333333334,6.354166666666667,177.19795640625,396.45000414583325,1738.5520833333333,2.125,1137557.9895833333,40.830867, -73.936218,Manhattan
